REPORT_DAT,SHIFT,OFFENSE,METHOD,BLOCK,DISTRICT,PSA,WARD,ANC,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,CCN,XBLOCK,YBLOCK,START_DATE,END_DATE
9/11/2017 3:33:18 PM,EVENING,THEFT/OTHER,OTHERS,3319 - 3499 BLOCK OF CONNECTICUT AVENUE NW,2,203,3,3C,Cluster 15,001302 2,001302,Precinct 27,17157494,394964.33,140772.69,9/11/2017 1:45:37 PM,9/11/2017 2:00:53 PM
9/11/2017 7:07:14 PM,EVENING,THEFT F/AUTO,OTHERS,4100 - 4199 BLOCK OF ELLICOTT STREET NW,2,202,3,3E,Cluster 11,001100 4,001100,Precinct 32,17157638,392967,142826,9/11/2017 2:30:56 PM,9/11/2017 5:15:15 PM
9/11/2017 7:44:11 PM,EVENING,THEFT/OTHER,OTHERS,5300 - 5399 BLOCK OF WISCONSIN AVENUE NW,2,202,3,3E,Cluster 11,001001 1,001001,Precinct 31,17157684,392607,143559,9/11/2017 6:11:32 PM,9/11/2017 6:20:04 PM
10/7/2017 2:35:03 PM,DAY,THEFT/OTHER,OTHERS,4500 - 4599 BLOCK OF 40TH STREET NW,2,202,3,3E,Cluster 11,001100 4,001100,Precinct 32,17173970,393173,142324,10/7/2017 1:45:09 PM,10/7/2017 2:10:52 PM
9/13/2017 7:29:54 AM,DAY,THEFT F/AUTO,OTHERS,5302 - 5329 BLOCK OF NEVADA AVENUE NW,2,203,3,3F,Cluster 10,001402 3,001402,Precinct 138,17158590,394207,143451,9/12/2017 11:00:20 PM,9/13/2017 6:10:32 AM
10/8/2017 11:48:29 AM,DAY,THEFT F/AUTO,OTHERS,3700 - 3799 BLOCK OF PORTER STREET NW,2,203,3,3C,Cluster 15,000600 4,000600,Precinct 29,17174501,393661,141051,10/7/2017 5:00:48 PM,10/8/2017 11:15:25 AM
9/26/2017 3:33:22 PM,EVENING,THEFT/OTHER,OTHERS,4200 - 4399 BLOCK OF CONNECTICUT AVENUE NW,2,203,3,3F,Cluster 12,001200 4,001200,Precinct 33,17167301,394459,141888,9/26/2017 2:35:13 PM,9/26/2017 3:33:20 PM
9/26/2017 4:41:34 PM,EVENING,THEFT F/AUTO,OTHERS,1400 - 1499 BLOCK OF ELLIOT PLACE NW,2,205,3,3D,Cluster 13,000802 1,000802,Precinct 7,17167336,392207,137933,9/25/2017 9:00:17 PM,9/26/2017 3:30:23 PM
9/26/2017 4:39:55 PM,EVENING,THEFT/OTHER,OTHERS,4200 - 4399 BLOCK OF CONNECTICUT AVENUE NW,2,203,3,3F,Cluster 12,001200 4,001200,Precinct 33,17167347,394459,141888,9/26/2017 3:55:45 PM,9/26/2017 4:39:53 PM
9/26/2017 6:33:15 PM,EVENING,THEFT F/AUTO,OTHERS,3500 - 3599 BLOCK OF 30TH STREET NW,2,203,3,3C,Cluster 15,000600 4,000600,Precinct 27,17167438,394704,140957,9/26/2017 3:53:54 PM,9/26/2017 6:33:14 PM
8/28/2017 7:10:48 PM,EVENING,THEFT F/AUTO,OTHERS,5800 - 5839 BLOCK OF CHEVY CHASE PARKWAY NW,2,201,3,3G,Cluster 10,001401 2,001401,Precinct 50,17148857,393616,144377,8/28/2017 11:00:24 AM,8/28/2017 2:00:51 PM
9/13/2017 11:22:52 AM,DAY,THEFT F/AUTO,OTHERS,2200 - 2274 BLOCK OF CATHEDRAL AVENUE NW,2,204,3,3C,Cluster 15,000501 1,000501,Precinct 136,17158686,395579,139867,9/13/2017 10:05:14 AM,9/13/2017 10:30:26 AM
9/13/2017 5:54:00 PM,EVENING,THEFT/OTHER,OTHERS,5300 - 5399 BLOCK OF WISCONSIN AVENUE NW,2,202,3,3E,Cluster 11,001001 1,001001,Precinct 31,17158913,392607,143559,9/13/2017 4:43:10 PM,9/13/2017 5:54:00 PM
